Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Acinetobacter spp.
Antibiotic filter: Amikacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
"RUS","Russian Federation","European Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",427,76,67,88.157894737
"SAU","Saudi Arabia","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",2420,290,227,78.275862069
"ZAF","South Africa","African Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",20691,1797,1175,65.386755704
"CHE","Switzerland","European Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",19539,121,6,4.958677686
"THA","Thailand","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",2629,312,96,30.769230769
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",2452,17,3,17.647058824
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Acinetobacter spp.","Amikacin",5783,275,76,27.636363636
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",1020,221,199,90.045248869
"BRA","Brazil","Region of the Americas",2019,"BLOOD","Acinetobacter spp.","Amikacin",606,54,33,61.111111111
"ETH","Ethiopia","African Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",139,10,4,40
"GEO","Georgia","European Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",433,38,21,55.263157895
"IND","India","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",24223,1245,867,69.638554217
"IDN","Indonesia","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",2314,305,98,32.131147541
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",2277,526,360,68.441064639
"JPN","Japan","Western Pacific Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",136246,1596,12,0.751879699
"XKX","Kosovo","European Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",151,45,41,91.111111111
"NPL","Nepal","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",2380,365,150,41.095890411
"MKD","North Macedonia","European Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",276,34,24,70.588235294
"OMN","Oman","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",1007,135,68,50.37037037
"PAK","Pakistan","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",8980,331,216,65.256797583
"PHL","Philippines","Western Pacific Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",6468,731,161,22.024623803
"KOR","Republic of Korea","Western Pacific Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",3646,225,134,59.555555556
"RUS","Russian Federation","European Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",1173,118,95,80.508474576
"SAU","Saudi Arabia","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",2528,274,206,75.182481752
"ZAF","South Africa","African Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",20489,1529,1073,70.176586004
"CHE","Switzerland","European Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",10424,54,3,5.555555556
"THA","Thailand","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",5463,489,131,26.789366053
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Amikacin",2464,15,5,33.333333333
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Acinetobacter spp.","Amikacin",7376,626,167,26.677316294
"BIH","Bosnia and Herzegovina","European Region",2020,"BLOOD","Acinetobacter spp.","Amikacin",954,348,330,94.827586207
"BRA","Brazil","Region of the Americas",2020,"BLOOD","Acinetobacter spp.","Amikacin",584,65,51,78.461538462
"ETH","Ethiopia","African Region",2020,"BLOOD","Acinetobacter spp.","Amikacin",431,60,8,13.333333333
"GEO","Georgia","European Region",2020,"BLOOD","Acinetobacter spp.","Amikacin",741,80,50,62.5
